t_kbs,val_kbs_zero
0,0
1,0.0004
2,1.00E-04
3,-1.00E-04
4.016,-0.0004
5.016,-0.0007
6.016,-0.0009
7.016,-0.0008
8.016,-0.001
9.015,-0.0011
10.031,-0.0013
11.031,-0.0014
12.031,-0.0013
13.031,-0.0012
14.031,-0.0013
15.031,-0.0016
16.046,-0.0017
17.046,-0.0019
18.046,-0.0024
19.046,-0.0025
20.046,-0.0027
21.046,-0.0027
22.062,-0.0025
23.968,-0.0034
24.968,-0.0033
25.968,-0.003
26.968,-0.0032
27.968,-0.0034
28.983,-0.0037
29.983,-0.0037
30.983,-0.004
31.983,-0.0045
32.999,-0.0042
33.999,-0.0046
34.999,-0.0048
35.999,-0.0048
36.999,-0.0049
37.999,-0.0052
39.014,-0.0053
40.014,-0.0052
41.014,-0.0051
42.014,-0.0053
43.014,-0.0057
44.03,-0.006
45.03,-0.0057
46.03,-0.0057
47.031,-0.0066
48.031,-0.0061
49.031,-0.0278
50.031,-0.0568
51.046,-0.0608
52.046,-0.0617
53.046,-0.0633
54.046,-0.064
55.062,-0.0649
56.062,-0.0653
57.062,-0.0665
58.062,-0.0795
58.968,-0.0932
59.968,-0.1085
60.968,-0.1223
61.968,-0.1418
62.983,-0.1778
63.983,-0.2073
64.983,-0.2365
65.983,-0.2435
66.983,-0.247
67.983,-0.2486
68.999,-0.2509
69.999,-0.2519
70.999,-0.2534
71.998,-0.2547
73.014,-0.2557
74.014,-0.2561
75.014,-0.2577
76.014,-0.2726
77.014,-0.2754
78.029,-0.1198
79.029,-0.0506
80.029,-0.039
81.029,-0.073
82.029,-0.0839
83.045,-0.087
84.045,-0.0871
85.045,-0.0872
86.045,-0.0837
87.045,-0.0871
88.06,-0.0948
89.06,-0.0968
90.06,-0.0955
91.966,-0.0947
92.966,-0.0967
93.966,-0.0963
94.982,-0.0971
95.982,-0.0966
96.982,-0.0973
97.982,-0.097
98.982,-0.0976
99.997,-0.0968
100.997,-0.0979
101.997,-0.0988
103.013,-0.0989
104.013,-0.0974
105.013,-0.0976
106.013,-0.0975
107.018,-0.0983
108.018,-0.0986
109.018,-0.1095
110.018,-0.1105
111.033,-0.1111
112.033,-0.1107
113.033,-0.1115
114.033,-0.1119
115.033,-0.113
116.049,-0.1126
117.049,-0.1132
118.049,-0.1087
